Manmino,Old Word,Type,Hanji Spelling,Definition
jakep,jayap,,作業,(v) work
jayhway,jayhuay,,再會,(v) to meet again
jay,jayjay,,再,again
catcat,jayjay,,擦擦,(v) to pet (an animal); rub (slang)
jaylyaw,jaylew,,材料,(n) ingredients; material;
geni,jaysi,,建議,"(v,n) to propose; to suggest"
catsik,jaysik,,擦拭,(v) to wipe
jen,jen,,前,"infront, forward"
jenbo,jenbam,,全部,"(n-adv,n-t,adj-no) all; entire; whole; altogether; everything"
jentat,jendat,,傳達,(v) to pass items or information
jengyu,jengiu,,全球,(n) global;
jenho,jenhow,,前後,(n) before and after (time)
jenjijenneng,jenjijenneng,,全知全能,(n) all-knowing and omnipotent
jenjin,jenjin,,前進,(v) to advance forward
jenga,jenka,,專家,(n) professional; expert
jengwok,jenkok,,全國,"(n,adj-no) country-wide; nation-wide; whole country; national;"
jenlik,jenlik,,全力,"(n,adj-no) all one's power; whole energy; full force;"
jenmun,jenmun,,全文,(n) whole passage; full text; whole sentence; full paragraph
jennen,jennen,,全年,"(n-adv,n,suf) all year; age"
jennit,jennit,,前日,(n) yesterday
jenset,jenset,,傳說,(n) legend
jensin,jensin,,全新,(adj) all new; completely new
jensin,jensin,,全身,"(n,adj-no,adj-f) whole (body); full-length (e.g. portrait); systemic;"
jensong,jensong,,傳送,(v) to send
jentong,jentong,,傳統,(n) custom; folk custom
jenyen,jenwen,,全員,(n) everyone; noone
junbi,jetbi,,準備,"(n,v) preparation; to prepare; to intend; to be about to; reserve (fund)"
ji,ji,,紙,(n) paper;
ji,ji,,,(p) possession 
ji,ji,,,(p) possessive case
syakji,jiakji,,勺子,(n) spoon
jakyong,jiakyong,,著用,(v) to wear; to attatch
jang,jiang,,床,"(n,abbr) bed; bedding;"
jangbu,jiangbiu,,丈夫,(n) husband;
janggenglok,jianggienglok,,長頸鹿,(n) giraffe
jangjang,jiangjiang,,長長,(adj) long; wide
jethak,jiathak,,哲學,(n) philosophy;
sikbet,jibiat,,識別,(v) to identify
jibonjui,jibuonjiuyi,,資本主義,(n) capitalism
jidaw,jidaw,,指導,"(v) to lead, to direct"
jidek,jidek,,知的,"(adj) smart, intelligent"
jidongca,jidongcia,,自動車,(n) automobile; car
jenbu,jienbiu,,戰斧,(n) battle axe
jengdang,jiengdang,,正當,(adj) justified
jengjeng,jiengjieng,,正正,(adj) correct; proper; neat; orderly
jenggam,jiengkam,,情感,"(n) feeling; mood, emotion"
jengki,jiengki,,情气,(n) aura
jengli,jiengli,,整理,"(v) to arrange, organize"
jengsin,jiengsin,,精神,(n) mind; conciousness
jengsinbeng,jiengsinbieng,,精神病,(n) mental illness; psychosis
jenjeng,jienjeng,,戰爭,(n) war
jisi,jigi,,指示,"(v) to point at, to clarify, to instruct"
jijenca,jijencia,,自轉車,(n) bicycle; bike;
jiji,jiji,,姊姊,(n) older sister
engni,jiji,,嬰兒,(n) baby
jik,jik,,側,beside
jik,jik,,直,straight
jik,jik,,,(prn) then; as such; therefore
jigak,jikak,,知覺,"(v, n) to notice; to realize; perception, sensation, awareness; know"
jigak,jikak,,資格,(n) qualification
jiklip,jiklip,,直立,"(v) to stand, get up"
jiksen,jiksien,,直線,"(n) line, mathmatically straight"
jikep,jikyap,,職業,(n) job; work; occupation; career; profession
jimdo,jimdow,,枕頭,(n) pillow
jimuk,jimiok,,指目,(v) to point out
jemswi,jimsuy,,潛水,(v) to dive (into liquid)
jimay,jimuay,,姊妹,(n) sisters
jimun,jimun,,指紋,(n) fingerprints
jitmun,jimun,,質問,(v) to ask; to question (concrete answer)
jimut,jimut,,植物,(n) plant; vegetation;
jimi,jimuy,,旨味,(adj) yummy; delicious
jijin,jijin,,觜唇,(n) lips
jing,jing,,蒸,(v) to bubble; to steam
jingbat,jingbat,,蒸發,(v) to evaporate
jinyen,jinien,,自然,(n) nature
jinyenlik,jinienlik,,自然力,(n) force(s) of nature
jinyo,jinio,,子女,(n) child of a parent;
jinli,jinli,,真理,"(n,adj-no) truth(philosophical);"
jinmi,jinmuy,,珍味,(adj) yummy; delicious
jinnam,jinnam,,,(v) to enrage; to provoke; to tease
jinsim,jinsim,,眞心,(adj) true to heart; really; truly; very
jinsit,jinsit,,真實,(n) truth (apart from false)
jaw,jio,,朝,(n) morning
jojang,jiojang,,貯藏,(v) to save data; to store
joji,jioji,,箸子,(n) chopstick
yuk,jiok,,粥,(n) rice porrige; congee
ju,jiok,,足,"(n) foot, feet"
jukbuk,jiokbiok,,祝福,(n) blessing (v) to bless
jukha,jiokha,,祝賀,(v) to congratulate
juhen,jiokhen,,足痕,(n) footprints
jujyaw,jiokjaw,,足爪,(n) toenails
juji,jiokji,,足趾,(n) toes
jung,jiong,,中,"within, in the middle of"
jongyaw,jiongyo,,重要,(adj) important
jungbay,jiongbay,,崇拜,(v) to worship
jungdwan,jiongdey,,中斷,(v) to interrupt; cut short
jungdong,jiongdong,,中東,(n) the Middle East
junghakhyaw,jionghakhaw,,中學校,(n) middle school; junior high school;
jungji,jiongji,,种植,"(v,) to plant; grow"
jongji,jiongji,,種子,(n) seed
junggip,jiongkip,,中級,(n) mid tier
junggwok,jiongkok,,中國,(n) china (nation);
jonglik,jionglik,,重力,(n) gravity;
jonglim,jonglim,,叢林,(n) jungle
junggwoko,jiongo,,中國語,(n) chinese language
jung,jiongsieng,,忠誠,(v) to be loyal and faithful
jongyaw,jiongyo,,重要,"(adj-na,n) important; momentous; essential; principal; major;"
jonyuk,jioniok,,猪肉,(n) pork
josi,jiosi,,助詞,(n) particle
joway,jioway,,除外,(v) to omit; exclude;
jipjak,jipjiak,,執著,(v) to obsess over something
jipjung,jipjiong,,集中,(v) to focus
jepsyok,jipsiok,,接續,(v) to connect
jiput,jiput,,支拂,(v) to pay
jisat,jisat,,自殺,(n) suicide
jisin,jisin,,自身,(n) self
jisyok,jisiok,,持續,(adj) continuous
jitbeng,jitbieng,,疾病,(n) illness; disease
jitji,jitji,,櫛子,(n) comb
letca,jiucia,,列車,(n) train
letcaek,jiuciayek,,列車驛,(n) train station
judey,jiudey,,主題,(n) theme; topic
jujang,jiujiang,,主張,to advocate; to stand for; view; position;
jumun,jiumun,,呪文,(n) spell (magical)
jumun,jiumun,,注文,(v) to order (at a store)
juo,jiuo,,主語,(n) subject (grammar)
jien,jiyen,,遲延,(v) to delay
jiyu,jiyu,,自由,(n) freedom
jonggyaw,jongkaw,,宗敎,(n) religion
jwasek,juasiek,,座席,(n) seat
jwayay,juayay,,最愛,"(v,n,adj) to regard as favorite"
jwayda,juayda,,最大,"(n,adj-no) greatest; largest; maximum;"
jwaygin,juaygin,,最近,recently; soon; nearest
judam,judam,,,"(v) to poke, pick at"
jwonjay,juonjay,,存在,(v) to exist
wiji,juonwu,,維持,(v) to keep; maintan; preserve
jwijek,juyjiek,,追跡,(v) to trace
jwigek,juykek,,追擊,(v) to chase
jwilak,juylak,,墜落,"(v) to drop, to fall"
ga,ka,,加,(v) to apply
kaay,kaay,,可愛,(adj) cute ♡ lovely; pretty
kaayim,kaayyim,,可愛音,(n) cute sound ♡
kadalain,kadalay,,,(adj) nasty; disgusting; gross 
gatek,kajek,,家宅,(n) house; home
gajok,kajok,,家族,(n) family
gakyok,kakiok,,歌曲,(n) song
gakmi,kakmuy,,覺味,(v) to taste
kaksin,kaksin,,確信,(v) to be certain of
kakning,kakyin,,確認,"(v) to confirm, to verify, to check"
kalen,kalen,,可憐,(adj) pitiful
kalohu,kalohu,,,(v) to cough
kalu,kalu,,,"(p) future tense; ""will"""
gamtodo,kamdamdow,,甘土豆,(n) sweet potato
gamden,kamden,,感電,(v) to be electrocuted
gamensya,kamensia,,感恩謝,thank you; thanks
gamji,kamji,,感知,(v) to sense
gamgak,kamkak,,感覺,"(v,n) to feel; a sense; feeling"
konan,kamnan,,苦難,(adj) difficult; suffering
konaw,kamnaw,,苦惱,(v) to struggle mentally
gamsya,kamsia,,感謝,(n) gratitude
kosinmi,kamsinmuy,,苦辛味,(adj) bitter
kotong,kamtong,,苦痛,(n) pain; painful
gamyok,kamyok,,監獄,(n) prison
gan,kan,,間,between
gandan,kandan,,簡單,(adj) simple; easy
kaneng,kaneng,,可能,"(adj-na,n) possible; practicable; feasible; maybe"
kanengseng,kanengsieng,,可能性,(n) potentiality; likelihood; possibility; availability
gang,kang,,江,(n) river
kangkang,kangkang,,,(n) (informal) dog;
ganhwok,kanhok,,間或,sometimes; occationally; now and then
kani,kani,,,"(n) king, ruler"
gwenlik,kanlik,,權力,"(n) power, political"
kaphey,kaphey,,,(n) cafe
kasek,kasiek,,可惜,(adj-pn) alas; regrettably
,,,,
kasing,kasing,,,(n) wind
gasyu,kasiu,,歌手,(n) singer
gethap,kathap,,結合,(v) to join together
gawdenghakhyaw,kawdayhakhaw,,高等學校,(n) a Koreo-Japanese secondary educational facility; a type of Chinese tertiary educational facility
gyawhwat,kawhuat,,狡猾,(adj) sly
gyawhway,kawhuay,,敎會,(n) church (Christian)
gawgaw,kawkaw,,高高,(adj) tall; great; above average
gyawlwan,kawluan,,攪亂,(v) to disturb; to interfere; to confuse
gawso,kawsam,,告訴,(v) to sue
gawsyu,kawsiu,,高手,"(adj, n) skilled; a skilled person; master; masterful"
gyawi,kawyek,,交易,(v) to trade
gawim,kawyim,,高音,(n) high-pitched tone; soprano;
gyawyuk,kawyok,,敎育,(v) to educate
ga,kay,,個,"measure word, ""things"""
kaybang,kaybang,,開放,(v) to open
kaybat,kaybat,,開發,(v) to develop a product or a method
kayhwa,kayhua,,開花,(v) to bloom
kaysi,kaysi,,開始,"(v) to start, begin, turn on"
gaysen,kaysien,,改善,"(v) to improve, better, enhance"
kegaming,kegaming,,,(n) mirror
kek,kek,,,lol; lmao; kek 
kekki,kekhi,,客氣,(v) to be polite as a guest
gekmeng,kekmieng,,革命,(n) revolution
gen,ken,,見,"(v) to look, see, watch purposefully"
geyhwok,keyhok,,計劃,"(v) to calculate, to draw plans, make, plan; design"
geynyuk,keyniok,,鷄肉,"(n) chicken, meat of"
geyswangi,keysuanki,,計算機,"(n) calculator, computer"
geyswangi,keysuanki,,計算機,"(n) computer, calculator"
geyin,keyyin,,係因,"""Oh by the way,"""
gengwok,kiankok,,建國,(v) to found a nation; to build a nation
kyatawi,kyatawi,,,"(n) trash, garbage "
kyatawikan,kyatawikan,,,(n) trashcan 
kibit,kibit,,起筆,(v) to start to write
gibu,kibiu,,寄附,(v) to donate
gibon,kibuon,,基本,(n) bottom line; baseline; minimum; basic; fundamental;
gico,kicio,,基礎,(n) basis; basics
gengji,kiengji,,鏡子,(n) mirror
gengi,kiengyi,,驚異,(v) to fear (a figure of worship)
kijeydonghwa,kijeydonghok,,器製動畫,(n) computer-generated animation
kijang,kijiang,,起床,"(v) to wake up, awaken"
gyoju,kijiu,,居住,"(v) to live in, at"
gikinin,kikinin,,机器人,(n) robot
gilyok,kiliok,,記錄,"(n) record, written;documentation"
gimju,kimjiu,,今周,(n) this week
gim,kim,,金,"(n) metal, gold"
gemja,kimji,,檢查,(v) to examine
gimnen,kimnen,,今年,"(n-adv,n,suf) this year; age; (P)"
gimnit,kimnit,,今日,(n) today
gemsak,kimsak,,檢索,(v) to search for information
gimseng,kimseng,,金星,"(n,adj-no) Venus (planet)"
gimsi,kimsi,,今時,(n) now; these days
gimya,kimya,,今夜,"(n-adv,n-t) this evening; tonight;"
gimyok,kimyok,,金玉,(n) treasure; gold and jade
gimyawnit,kimyonit,,金曜日,(n) friday
ginyuk,kiniok,,肌肉,(n) muscle
kyo,kio,,去,(v) to go
kyoksen,kioksien,,曲線,"(n) line, curved"
kyolay,kiolay,,去來,(v) to come and go
kyonen,kionen,,去年,"(n-adv,n-t) last year; "
kyongpo,kiongpam,,恐怖,(n) fear
gipyo,kipyo,,給與,(v) to give (abstract)
gyu,kiu,,九,(n) nine
obet,kiubiat,,區別,(v) to differentiate
gyucwi,kiucut,,救出,(v) to rescue via evacuating
gyujey,kiujey,,救濟,(v) to rescue via providing emergency relief
gyusigan,kiusikan,,久時間,Long time; always
gyuyen,kiuwan,,救援,(v) to save; to give salvation
giik,kiyik,,記憶,(v) to remember
ko,ko,,,(prn) he/she/it
kok,kok,,哭,(v) to cry
gwokga,kokka,,國家,(n) state; country; nation;
gwokmin,kokmin,,國民,(n) citizen of a nation
gwokwang,kokwang,,國王,(n) king; monarch; ruler;
komnang,komnang,,,(n) kid
kwen,kon,,犬,(n) dog;
kong,kong,,空,(n) sky;
gongbu,kongbiu,,工夫,(n) a factory worker
konghong,konghong,,空港,(n) airport;
gongjak,kongja,,工作,(v) to craft; construction; handicraft; work; manufacturing
kongjaksek,kongjiaksiek,,孔雀石,(n) malachite;
gonggek,kongkek,,攻擊,"(n, v) to attack"
kongki,kongki,,空气,(n) air
kongkek,kongkiek,,空隙,(n) empty crack
gongnin,kongnin,,工人,(n) workman; craftsman; laborer; labourer; artisan
kongsyudaw,kongsiudaw,,空手道,(N) karate
gongwan,kongwan,,公園,(n) park
gongen,kongyen,,公演,(n) public performance
kopomon,kopomo,,,(adj) sulky; scared
kotat,kotat,,,(prn) he/she/it (plural)
ko,kow,,口,(n) mouth
kopunggim,kowbionggim,,口風琴,(n) harmonica
kodak,kowdak,,叩鐸,(v) to knock
kogim,kowgim,,口琴,(n) Jews Harp
gomay,kowmay,,購買,(v) to buy
koim,kowyim,,口音,(n) accent
gwao,kuaa,,過誤,"(v, n) mistake"
gwabi,kuabi,,果皮,"(n,adj-no) pericarp; skin (of a fruit); peel; rind"
gwadek,kuadek,,過的,(adj) too much
kwahak,kuahak,,科學,(n) science
gwajip,kuajip,,果汁,(n) fruit juice
gwakyo,kuakio,,過去,past
kwakwak,kwakwak,,,"(n,adj) (informal) duck; weird"
kwakwak'im,kwakwak'im,,,(n) duck sound; weird sound 
gwandem,kuandem,,觀點,(n) perspective
kwang'a,kwang'a,,,(n) bear (animal); 
gwangbyujet,kuangbiokjat,,光復節,(n) Liberation Day (Korea); a day of independence
gwanyuk,kuaniok,,果肉,"(n) flesh of fruit, pulp"
gwanli,kuanli,,管理,"(v,n,vs) to control; management (e.g. of a business);"
gwansim,kuansim,,關心,(v) to care for; to care about
gwawan,kuawan,,果园,(n) orchard
gwaymut,kuaymut,,怪物,(n) monster;
kulong,kulong,,,(v) to snore
kulukhe,kulukhe,,,"(v) to choke (on something, ex: from food.)"
kuluy,kuluy,,,(n) toes
gyungwokjui,kunkokjiuyi,,軍國主義,(n) militarism
gwotjet,kuotdey,,骨折,(n) broken bone(medical)
kutso,kutso,,,"(v,n) to lie, fib"
gwihwan,kuyhuan,,歸還,(v) to return (somewhere)
gwijet,kuyjat,,季節,(n) season
gwisin,kuysin,,鬼神,(n) ghost
langbay,langbay,,狼狽,(n) a surprise (negative)
lapmen,lapmen,,拉麵,(n) ramen;
lawdong,lawdong,,勞動,(v) to labor
lawdongja,lawdongjia,,勞動者,(n) laborer
lawlong,lawliong,,牢籠,(v) to trap
lawsyo,lawsio,,老鼠,(n) rat; mouse
lay,lay,,來,"(v) to come, arrive"
laya,laya,,,"(int,n,arch) something worthy of celebration; eternal life (and prosperity); (a celebratory cheer);"
laynit,laynit,,來日,(n) tomorrow (metaphorical)
le,le,,,"(p) past perfect, ""did"""
leksi,leksi,,歷史,(n) history
len,len,,零,(n) zero
leng,leng,,澪,(adj) cool (slang)
lengtak,lengpek,,靈魄,(n) soul
lengswi,lengsuy,,冷水,(n) cold water;
lwennin,lennin,,戀人,(n) significant other (girl/boyfriend)
lensip,lensip,,練習,(v) to practice
lyawli,lewli,,料理,"(v) to cook, bake"
leysi,leygi,,例示,(v) to give an example; examplify
lihwon,leyhuon,,離婚,"(v,n) to divorce"
leymun,leymun,,例文,(n) example sentence; example grammar
leymut,leymut,,礼物,"(v,n) to gift; gift"
lyanen,lyanen,,,(adj) weak
lenjung,lienjiong,,連中,(n) middle of a series
liga,lihay,,理解,"(v,n,) to understand; comprehend; appreciation; sympathy;"
nolik,likgiu,,努力,(v) to strive
likhak,likhak,,力學,(n) mechanics; dynamics
likji,likji,,力士,(n) strongman
liklyang,likliang,,力量,(n) ability; physical strength; capacity; tact
likwa,likua,,理科,(n) physical sciences
limmok,limmok,,林木,(n) forest tree
limyok,limyok,,淋浴,(v) to take a shower;
linem,linem,,理念,(n) idea; ideology
lyuk,liok,,六,(n) six
lyokca,liokja,,綠茶,(n) green tea
longgwa,liongkua,,龍果,(n) dragonfruit
lisyang,lisiang,,理想,"(n,adj-no) ideal;"
lwijek,liuji,,累積,"(v,n) to accumulate; pile up"
liyu,liyu,,理由,(n) reason; pretext; motive
lolikon,lolikon,,,(n) pedophilia
lotaw,lotaw,,,(v) to sing
lotawji,lotawji,,,(n) song
lu,lu,,,(p) noun is the object of the verb
lu,lu,,,(p) accusative case
lwonmun,lunmun,,論文,(n) scholarly essay
lwiji,luyji,,淚子,(n) tears
lwisi,luyluy,,類似,(v) to be like
malayo,malayo,,,(n) Malaysian Language
malok,malok,,馬鹿,(n) deer and horse
malsu,malsu,,,"(n,adj-no) Mars (planet);"
mama,mama,,,(n) mother; mom; 
man,man,,萬,(n) ten thousand
"man, manyit","man, manyit",,,(prn) if
mancan,mancan,,晚餐,(n) dinner (formal)
mangdek,mangdek,,忙的,(adj) busy
mangkyak,mangkiak,,忘却,"(n, v) to forget, oblivion"
manggwa,mangkua,,芒果,(n) mango
mango,mango,,,(n) mango
manman,manman,,,(adj) full
manmut,manmut,,萬物,(n) all of creation
mansey,mansey,,萬世,"(int,n,arch) something worthy of celebration; eternal life (and prosperity); (a celebratory cheer);"
mansik,mansik,,晚食,(n) dinner
matji,matji,,襪子,(n) sock; stockings
myaw,maw,,貓,(n) cat;
mawmaw,mawmaw,,,long time; always 
maymay,maymay,,,(n) younger sister;
meksyang,meksiang,,默想,(v) to meditate in silence
menet,menet,,,(n) eyes
mengwangseng,mengwangseng,,冥王星,"(n) pluto, planet of"
mengsyang,mensiang,,瞑想,(v) to meditate
mey,mey,,,(v) to meow
meyhwok,meyhok,,迷惑,(v) to tempt
meng,mieng,,名,"measure word, people"
meng,mieng,,鳴,(v) to chirp
leymeng,leymieng,,黎明,(n) dawn
,,,,
mengyang,miengiang,,勉强,(v) to overcome difficulty
,,,,
mengleng,miengleng,,命令,(v) to command
mengsi,miengsi,,名詞,(n) noun
mengseng,miengsieng,,名聲,"(n, adj) popular, famous"
mensi,miensi,,面試,(n) (job) interview; audition
miju,mijiu,,美州,(n) America (continent)
meygok,mikok,,米穀,(n) rice grain
migwok,mikokmeykok,,美國,(n) america;
mileydek,mileydek,,美麗的,(adj) beautiful
minhwa,minhuay,,民話,(n) folk stories
minjujui,minjiujiuyi,,民主主義,(n) democracy
mukbyaw,miokbio,,目標,(n) goal; objective
mukdekdi,miokdekdi,,目的地,(n) desination
mukdeko,miokdeko,,目的語,(n) object (grammar)
mong,miong,,夢,(n) dream (during sleep)
mit,mit,,,(n) three
mitdang,mitdang,,蜜糖,(n) honey
mitulu,mitulu,,,(n) bamboo
myumyu,myuci,,,(n) (informal) cat;
myuhwok,miuhok,,謬惑,(v) to tempt; to seduce
mugamgak,miukamkak,,無感覺,(v) unable to feel a sense
mugwan,miukuan,,無關,unrelated
muley,miuley,,無禮,(adj) disrespectful
muli,miuli,,無理,"(adj) irrational, irrationally difficult"
musi,miusi,,無視,"(v) to ignore, brush off"
musengay,miusiengay,,無性愛,(n) asexuality
musingbyu,miusingbiu,,無勝負,(n) a tied match
musyut,miusut,,武術,(n) martial arts
mudaw,miuyong,,舞蹈,(n) dance
mok,mok,,木,(n) wood
mokseng,mokseng,,木星,(n) Jupiter (planet)
mokyawnit,mokyonit,,木曜日,(n) thursday
molong,molong,,,(adj) squishy 
mongolo,mongolo,,,(n) Mongolian Language
moeno,moweno,,母言語,(n) native languages; one's mothertongue
moji,mowji,,母子,(n) mother and child;
mocin,mowmow,,母親,(n) mother; mom;
mabap,muabap,,魔法,(n) magic; witchcraft; sorcery;
mando,muandow,,饅頭,(n) a wheat bun (regardless on whether stuffed or not)
manhwa,muanhok,,漫畫,(n) comic; cartoon; manga
manman,muanmuan,,滿滿,(adj) full
mawang,muawang,,魔王,(n) demon king
maymay,muaymuay,,妹妹,(n) younger sister;
maynit,muaynit,,每日,(n) Daily
munbap,munbap,,文法,(n) grammar
mungo,mungiu,,文句,(n) text; written statement
munhak,munhak,,文學,(n) literature;
munhen,munhian,,文獻,(n) text (scholarly)
munhwa,munhua,,文化,(n) culture
munkwa,munkua,,文科,(n) humanities
myunji,munsi,,文字,(n) letters (of a language)
muney,munyey,,文藝,"(n) literature, the art of"
motdo,muotdow,,沒頭,"(v) ""to sink your head into""; to focus on something excessively"
mut,mut,,,(n) mouth 
mutli,mutli,,物理,"(n,adj-no) physics; law of nature;"
mutlihak,mutlihak,,物理學,"(n) physics, the science of"
milay,muylay,,未來,(n) the future
,,,,
misengmut,muysiengmut,,微生物,(n) micro-organisms
misingbyu,muysingbiu,,未勝負,(n) a match that has yet to occur
misyaw,muysio,,微笑,(v) to smile
muysu,muysu,,,(n) water
na,na,,拿,(v) to grab
nambangyu,nambuangiu,,南半球,(n) southern hemisphere
namcin,namcin,,男親,(n) significant males (male family + boyfriend)
nolik,namlik,,努力,"(n,vs) great effort; exertion; endeavour; endeavor; effort; strive"
namnang,namnang,,,(v) to bite
namnang,namnang,,,(v) to eat;
namnyo,namnio,,男女,(n) male and female
namseng,namsieng,,男性,(n) male
namuy,namuy,,,(n) forest tree
nangnang,nangnang,,,(n) breasts;boobs 
nanga,nanhay,,難解,(adj) obscure
nay,nay,,,"(prn) inside, at"
nyudo,nayjio,,乳頭,(n) nipples;
ne,ne,,,(p) noun is the recipient
ne,ne,,,(p) dative case
nenco,nencio,,年初,"(n-adv,n) beginning of the year"
nenglik,nenglik,,能力,(n) ability; faculty;
nyaw,new,,尿,(v) to pee
ni,ni,,二,(n) two
ni,ni,,,(prn) you
nyakjung,niakjiong,,弱蟲,(adj) weak
cengnen,niania,,青年,(n) youth; youthful years; (pre-30s)
nyetay,niatay,,熱愛,(v) to be in a romantic relationship
nyetjeng,niatjieng,,熱情,(n) passion
nyetten,niatten,,熱天,"(adj,n) hot weather"
nidwa,nidua,,耳朵,(n) ear;
nencok,nienciok,,軟觸,(n) soft touch
nyenlyaw,nienlew,,燃料,(n) fuel
nyensyaw,niensio,,燃燒,(v) to burn
nica,niluncia,,二輪車,(n) bicycle; two-wheeled vehicle
nyemlyaw,nimlew,,染料,(n) dyes
ningdeng,nindeng,,認定,"(v) to admit, to conceed, to acknowledge, recognize"
ninheng,ninheng,,人形,(n) human figure
ninjay,ninjay,,人才,"(n,adj-no) man of talent; capable person; talented person;"
ningan,ninkan,,人間,(n) among humans;
ningangwangey,ninkankuankey,,人間關係,(n) human relationships
ninki,ninki,,人气,(n) human presence
ninko,ninkow,,人口,(n) population
ninlwi,ninluy,,人類,(n) mankind
ninmut,ninmut,,人物,(n) character; personality; person; man; personage; talented man;
ninnaysim,ninnaysim,,忍耐心,(n) patience
ninnin,ninnin,,人人,"(n,adj-no) each person; people; men; human; everybody;"
ninyo,nino,,人魚,(n) mermaid
nyocin,niocin,,女親,(n) significant females(female family + girlfriend)
nyukan,niokan,,肉眼,(n) naked eye; the physical eye; unaided eye
nyuktey,rioktey,,肉體,"(n,adj-no) the body; the flesh;"
nyukgyu,niokgiu,,肉球,(n) meatball
nyukpen,niokpen,,肉片,(n) piece (cut) of meat
nyoseng,niosieng,,女性,(n) female
nipjang,nipjiang,,入場,(v) to enter an establishment formally
yangji,nipyang,,養子,(v) to adopt (child)
nit,nit,,日,(n) the Sun
nitat,nitat,,,(prn) you all (plural)
nitbon,nitbuon,,日本,(n) japan;
nitbono,nitbuono,,日本語,(n) Japanese Language
nitji,nitji,,日子,"(n) day, date;"
nitgi,nitki,,日記,(n) diary; journal 
nitlopo,nitlopo,,,(n) seven
nitmong,nitmiong,,日夢,(n) daydream
nitmando,nitmuandow,,日饅頭,(n) Manjyu
nityawnit,nityonit,,日曜日,(n) sunday
nyubang,niubang,,乳房,(n) breasts;boobs
nyuhwa,niuhua,,柔和,(adj) soft and gentle
nyugyaw,niukaw,,儒敎,"(n) Confucianism, the general philosophy of"
nongbu,nongbiu,,農夫,(n) farmer
nongwan,nongwan,,農園,(n) farm; plantation
not,not,,,(n) four
nwaysim,nuaysim,,內心,(n) inner heart
nuji,nuji,,,"(n,adj) rainbow "
nululuk,nululuk,,,"(v) to growl, purr, snore"
o,o,,,(p) “or”
obap,obap,,語法,(n) grammar;
yoden,oden,,御田,(n) royal rice paddies
ok,ok,,,"ok, alright, english expression"
yokang,okang,,魚康,(n) Angelfish
yolwi,oluy,,魚類,(n) fish
otaku,otaku,,,(n) otaku; nerd
onyen,ownien,,偶然,accidentally; incidentally; occasional; occasionally; by chance; randomly; coincidence
owo,owo,,,(n) the sense of overwhelming surprise
okway,owuy,,語彙,(n) vocabulary
potong,pamtong,,普通,common; ordinary; general; average
pang,pang,,,(n) bread
pangmun,pangmun,,訪問,"(v) to visit, travel"
panek,panyek,,飜譯,(v) to translate
pek,pek,,拍,(v) to slap
peksyu,peksiu,,拍手,(v) to clap
penji,penji,,片紙,(n) paper mail (no more than 2 pages)
peypan,peypuan,,批判,(v) to criticize
pyan,pyan,,,(prn) not even; but a
pin'go,pin'go,,,"(n,uk) apple; apple tree (Malus pumila);"
pyawji,pioji,,鏢子,(n) dart
pyawlyu,pioliu,,漂流,(v) to be lost at sea
piopio,piopio,,,(n) cheek
pit,pit,,,"(p) mandate particle (formal) ""must"""
pokipoki,pokipoki,,,(adj) bursting; popping
polong,polong,,,(v) to bounce
pongtow,pongtow,,,(n) buttox; arse 
pahway,puahuay,,破壞,"(v) to break, destroy"
paswon,puasuon,,破損,(v) to damage (inanimate object)
paytat,puaydat,,配達,(v) to deliver
payji,puayji,,配置,(v) to station something at a particular location; to allocate
paysong,puaysong,,配送,(v) to send via post
puhap,puhap,,,(v) to dissappear in a cloud of smoke
puluk,puluk,,,(v) to flutter
pundok,pundok,,,(n) to rustle; to shake
sadang,sadang,,砂糖,(n) cane/brown sugar
saga,saga,,,(n) epic poem
sam,sam,,三,(n) three
solyaw,samlew,,塑料,(n) plastic
samminjui,samminjiuyi,,三民主義,(n) The Three Peoples' Principle (as proposed by Sun Yat Sen)
san,san,,山,(n) mountain;
sang,sang,,,"(prn) over, above, on"
sayo,sao,,鯊魚,(n) shark;
sat,sat,,殺,(v) to kill
satgwan,satgan,,殺菌,(v) to kill germs; disinfect; sterilize
sawim,sawyim,,噪音,(n) noise; cacophony
sejaho,sejaho,,,(n) gender dysphoria
senbay,senbuay,,先輩,(n) senior at school or workplace
sendek,sendek,,洗滌,"(v) to clean, wash"
senen,senen,,宣言,(v) to declare
seng,seng,,星,(n) star; any light-emitting (or reflecting) heavenly body;
seng,seng,,,(p) changes the word function from adjective to noun
seng,seng,,,(p) adjective-Noun
senjek,senjek,,選擇,"(v) to choose, select, determine, decide; pick"
,,,,
senjen,senjen,,旋轉,(v) to turn; rotate; revolve; spin
senseng,sensieng,,先生,"(n) teachers; older individual, someone senior to you;"
set,set,,雪,(n) snow;
setdang,setdang,,雪糖,(n) white sugar
setdek,setdek,,說得,(v) to convince
setmeng,setmieng,,說明,"(v) to explain, tell, convey, clarify, define; explaination"
setnin,setnin,,雪人,(n) snowman
seting,setying,,說應,(v) to respond (verbal)
seybyaw,seybaw,,細胞,(n) cells (biological)
seybangyu,seybuangiu,,西半球,(n) western hemisphere
seygay,seykay,,世界,(n) the world; society;
seyyang,seyyang,,西洋,"(n) the place in which western civilization primarily exists, including Europe and the Americas"
saywat,seyyat,,歲月,(n) a great amount of time that has passed (poetic)
si,si,,四,(n) four
si,si,,思,(v) to think
si,si,,是,(v) TO BE
