Manmino,Old Word,Type,Hanji Spelling,Definition
punggim,bionggim,,風琴,(n) organ (instrument)
bitji,bitji,,筆紙,(n) writing paper
bityaw,bityo,,必要,(v) to need; nessecary
bubay,biubay,,腑敗,"(v) to rot, to be corrupt"
byubeng,biubieng,,不評,(v) to complain
bubyu,biubiu,,夫婦,(n) husband and wife
bucin,biubiu,,父親,(n) father; dad
byudong,biudong,,不同,(v) to be incapable of being the same
byudwan,biuduan,,不断,"(n-t,adj-na,adj-no) constancy; persistency; continuity; indecisive;"
byuhapgak,biuhapkak,,不合格,"(v) to be disqualified, to not qualify"
byuheng,biuheng,,不幸,"(adj-na,n) unhappiness; sorrow; misfortune; disaster; accident; death;"
byujay,biujay,,不在,(n) absence
byuka,biuka,,不可,"(n,n-suf) wrong; bad; improper; unjustifiable; inadvisable;"
byukaneng,biukaneng,,不可能,"(adj-na,n) impossible;"
byugyu,biukiu,,不久,Soon; not long
byumenbeng,biumenbieng,,不眠病,(n) insomnia
bumo,biumow,,父母,(n) father and motherl; parents
byuneng,biuneng,,不能,"(adj-na,n) incompetency; inefficiency; impossibility; weak point; imbecility;"
byuyaw,biuyo,,不要,"(adj-na,n,adj-no) unnecessary; unneeded;"
biye,biye,,,(prn) despite; even though
boboti,boboti,,,(n) bubble tea
bokjong,bokciong,,僕從,(v) to obey
bokoboko,bokoboko,,,(v) to bubble; to steam
ji,bon,,自,(p) origin; from
bon,bon,,,(p) ablative case
boyang,bowyang,,培養,(v) to cultivate
bandwan,buanduan,,半斷,(v) to cut something in half
bangyu,buangiu,,半球,(n) hemisphere
banhamgi,buanhamgi,,半減期,"(n) half-life, the time which it takes for an object to reach"
bangeng,buankeng,,半徑,(n) radius
bannen,buannen,,半年,(n) half a year; half of a year
banya,buanya,,半夜,(n) midnight
banwat,buanyat,,半月,(n) half moon
banim,buanyim,,半音,(n) half tone;
bay,buay,,背,(n) back (anatomy)
baypan,buayban,,背反,(v) to betray
baybyu,buaybiu,,背負,(v) to carry on back
bunbat,bunbat,,奮發,(v) to overcome through becoming rouse
bunbit,bunbit,,粉筆,(n) chalk
bunmeng,bunmieng,,分明,(adj) clear (rhetorical)
bunsek,bunsek,,分析,(v) to analyze
bonlay,buonlay,,本來,originally; at first; initially
bidong,buydong,,非同,"(adj) different, unequal; diversity; irregularity;"
bihang,buyhang,,飛行,(v) to fly (airplane)
bihanggi,buyhangki,,飛行機,(n) flying machine; airplane
bihaw,buyhaw,,非好,(v) to dislike
bihawgam,buyhawkam,,非好感,(adj) bad; unagreeable
bihawgam,buyhawkam,,非好感,(v) to dislike
bijo,buyjow,,飛走,(v) to fly away
bilyaw,buylew,,肥料,(n) manure; fertilizer; fertiliser
binan,buynan,,非難,"(v, n) to criticize unconstructively; reproof; blame; condemnation; reproach"
bisidek,buysidek,,非是的,no
cabet,cabiat,,差別,(v) to discriminate
cala,cala,,,(n) moon
calililik,calililik,,,(v) to be shocked by weak/static electricity
calululuk,calululuk,,,(v) to be shocked by strong electricity 
simbay,cambay,,參拜,"(v) to perform rites at a shrine, to give respects to a deceased public figure through ceremony"
simga,camka,,參加,"to participate; to take part; to join, participation, joining, entry"
simsek,camsiek,,參席,(v) to attend
camuk,camuk,,,(v) to chew
cangmon,cangmuon,,窗門,(n) window
capjwa,capjua,,插座,"(n) socket, outlet"
cet,cat,,切,"(v) to clip, cut"
cengcaw,caw,,青草,(n) green grass
cawbon,cawbuon,,草本,"(n,adj-no) herbs"
cawdi,cawdi,,草地,(n) meadow; grassland
cawlyo,cawlyo,,,(n) voice
lyoksik,cawliok,,綠色,(n) the color green
sosim,cawsim,,操心,(adj) careful
cawwan,cawyan,,草原,(n) grass-covered plain; grasslands; meadows; savannah; prairie; steppe;
cen,cen,,千,(n) thousand
cenci,cenci,,穿刺,(v) to stab
lamsik,cenglam,,藍色,(n) the color blue
ceyji,ceyji,,妻子,(n) wife;
cang,ciang,,昌,(v) to sing
cangjaw,ciangcaw,,創造,"(v) to create/make, build"
hongsik,ciekhong,,紅色,(n) the color red
cik,cik,,,(prn) beside; next to; 
cikdeng,cikdeng,,測定,(v) to measure
cilucilu,cilucilu,,,(v) to chirp
cinyok,ciniok,,恥辱,(n) disgrace
cinyu,cinwiu,,親友,(n) friend
cobat,ciobat,,處罰,(v) to punish
cok,ciok,,觸,(v) to touch
comen,ciomien,,初面,(adj) meeting for the first time
nengmongsyu,nengmongsiu,,檸蒙樹,(n) lemon tree
cungdenki,ciongdenki,,充電器,"(n) battery charger, charger"
jongdwot,ciongduot,,重突,(v) to crash; to clash
cit,cit,,七,(n) seven
cyucyu,cyucyu,,,yes
cugwi,ciukuy,,秋季,"(n) autumn, fall"
co,co,,,(prn) that
codi,codi,,,(n) here
cokcok,cokcok,,,(v) to kiss
cunjet,cunjat,,春節,(n) spring festival
cungwi,cunkuy,,春季,(n) spring
cwihwet,cuthot,,出血,(n) bleeding
cwisengdi,cutsiengdi,,出生地,(n) birth place
cwi,cuy,,推,(v) to push
comi,cuymuy,,趣味,(n) hobby
daak,daa,,大惡,(n) great evil
dabi,dabi,,大避,(v) to evacuate en mass
daban,dabuan,,大半,(n) majority; mostly; generally;
dada,dada,,大大,(adj) big
